Gender,Birthday,Location,Days Watched,Completed,Total Entries,Episodes Watched,Country,Weighted_Y
Male,1991-10-03 00:00:00+00:00,BellinghamWashington,39.3,76.0,120.0,2298.0,USA,666.298723590781
Male,1987-01-31 00:00:00+00:00,Withdrawnintomyself,218.9,818.0,843.0,13203.0,Withdrawnintomyself,4127.964495956867
Female,1988-04-11 00:00:00+00:00,Lithuania,129.6,386.0,495.0,7663.0,Lithuania,2349.7138266299035
Male,1986-10-21 00:00:00+00:00,France,179.5,622.0,783.0,11026.0,France,3454.5539952006366
Female,1986-05-08 00:00:00+00:00,UppsalaSweden,37.6,49.0,67.0,2214.0,Sweden,600.8565832209989
Male,1981-05-26 00:00:00+00:00,TorontoOntario,29.7,45.0,51.0,1752.0,Ontario,477.8789965091968
Male,1990-01-07 00:00:00+00:00,SugarLandTexas,54.8,128.0,510.0,3258.0,USA,1145.110972422708
Male,1989-06-27 00:00:00+00:00,France,77.6,190.0,288.0,4501.0,France,1358.4370682733713
Female,1963-06-10 00:00:00+00:00,ColumbusGeorgia,219.9,766.0,895.0,13339.0,USA,4159.374889201494
Male,1985-12-16 00:00:00+00:00,Mexico,121.9,546.0,1060.0,7463.0,Mexico,2705.2859814324906
Male,1984-09-16 00:00:00+00:00,Sweden,118.5,252.0,318.0,6984.0,Sweden,2010.4675509749432
Male,1986-01-29 00:00:00+00:00,AustinTX,90.8,274.0,354.0,5234.0,USA,1620.9561179168477
Male,1987-11-22 00:00:00+00:00,ClevelandOhio,58.6,224.0,227.0,3556.0,USA,1113.678798929449
Non-Binary,1987-12-06 00:00:00+00:00,LouisvilleKY,69.1,127.0,172.0,4269.0,USA,1199.1253628875234
Female,1988-09-18 00:00:00+00:00,Offsomewhere_,34.5,136.0,223.0,1975.0,Offsomewhere_,680.2604051949211
Female,1977-03-21 00:00:00+00:00,California,64.4,202.0,260.0,3786.0,USA,1176.170694614872
Male,1990-02-22 00:00:00+00:00,NewJersey,8.0,12.0,19.0,462.0,Jersey,129.27931766044225
Male,1983-08-20 00:00:00+00:00,GainesvilleFlorida,58.7,199.0,303.0,3519.0,USA,1133.190240936553
Male,1983-02-23 00:00:00+00:00,GarfieldHeightsOhio,95.4,291.0,363.0,5417.0,USA,1680.783193197676
Female,1990-06-05 00:00:00+00:00,Indiana,92.8,368.0,629.0,6085.0,Indiana,2026.8661968976314
Male,1985-11-12 00:00:00+00:00,Sweden,90.6,194.0,212.0,5253.0,Sweden,1500.3871422591199
Female,1986-04-29 00:00:00+00:00,California,67.1,207.0,279.0,3890.0,USA,1215.290731387357
Male,1989-10-03 00:00:00+00:00,NewJersey,35.0,104.0,178.0,1829.0,Jersey,603.2279886000534
Male,1985-09-30 00:00:00+00:00,SanFranciscoCalifornia,146.4,585.0,599.0,8647.0,USA,2759.5074712608234
Male,1990-01-09 00:00:00+00:00,Delaware,22.5,85.0,326.0,1283.0,USA,540.9830971411666
Male,1989-04-21 00:00:00+00:00,LeicesterEngland,83.4,386.0,491.0,4794.0,England,1654.9588294963712
Male,1989-01-04 00:00:00+00:00,Ohio,57.9,153.0,166.0,3408.0,USA,1004.298613609308
Male,1987-01-07 00:00:00+00:00,VacavilleCalifornia,88.6,52.0,89.0,5262.0,USA,1351.6300058909903
Male,1990-01-25 00:00:00+00:00,Neverath,56.2,169.0,268.0,3434.0,Neverath,1075.3864737345407
Male,1991-09-13 00:00:00+00:00,AlbertaCanada,103.3,239.0,272.0,6194.0,Canada,1785.3318194992785
Female,1991-03-08 00:00:00+00:00,LasVegasNevada,126.4,251.0,959.0,7134.0,USA,2406.3483857644787
Female,1982-06-20 00:00:00+00:00,ReykjavikIceland,16.5,75.0,129.0,898.0,Iceland,332.6649539135695
Female,1986-08-01 00:00:00+00:00,Oregon,62.4,160.0,182.0,3735.0,USA,1095.7240193188384
Female,1987-07-29 00:00:00+00:00,ColumbusGeorgia,319.5,1068.0,1543.0,19454.0,USA,6169.839787122435
Male,1987-10-25 00:00:00+00:00,DublinIreland,79.9,291.0,309.0,4732.0,Ireland,1482.8623050541821
Male,1991-06-19 00:00:00+00:00,AthensGreece,17.0,58.0,119.0,986.0,Greece,338.10405004862776
Male,1983-04-08 00:00:00+00:00,SouthernUsa,43.0,103.0,570.0,2580.0,Usa,1000.1039109546767
Female,1983-01-01 00:00:00+00:00,Singapore,34.6,113.0,243.0,2545.0,Singapore,810.7994445010165
Male,1975-01-15 00:00:00+00:00,hiddenvillageinCA,106.8,235.0,281.0,6311.0,USA,1817.1991214813222
Female,1989-11-19 00:00:00+00:00,SanJoseCalifornia,67.1,312.0,408.0,4068.0,USA,1388.5898130021787
Female,1988-01-26 00:00:00+00:00,ZagrebCroatia,68.7,291.0,576.0,4007.0,Croatia,1456.9103323937893
Female,1990-05-21 00:00:00+00:00,Israel,91.2,272.0,539.0,5394.0,Israel,1760.3166192638544
Male,1987-04-10 00:00:00+00:00,Illinois,97.4,238.0,256.0,5748.0,USA,1668.8994828711598
Male,1986-12-26 00:00:00+00:00,Finland,53.7,107.0,138.0,3199.0,Finland,911.4801846612108
Female,1987-01-04 00:00:00+00:00,SohmaComplex,20.5,22.0,35.0,1225.0,Complex,328.206600449295
Male,1987-08-11 00:00:00+00:00,SaoPauloCitySaoPauloState,151.5,142.0,215.0,9036.0,State,2385.4643963846866
Female,1985-09-02 00:00:00+00:00,ChesterCalifornia,61.4,171.0,282.0,3725.0,USA,1154.8593572066643
Male,1987-08-29 00:00:00+00:00,HighlandCalifornia,50.5,132.0,169.0,2908.0,USA,873.6332100112122
Male,1985-09-08 00:00:00+00:00,HuntingtonBeachCalifornia,108.2,443.0,457.0,6187.0,USA,2006.1660473641575
Male,1992-02-11 00:00:00+00:00,MelbourneAustralia,17.5,43.0,105.0,1008.0,Australia,327.1168031252047
Female,1990-10-23 00:00:00+00:00,Finland,42.9,92.0,124.0,2536.0,Finland,734.9964349588761
Female,1985-04-09 00:00:00+00:00,LosAngelasCa,73.4,153.0,226.0,4338.0,Ca,1262.5104449443058
Male,1989-08-18 00:00:00+00:00,NewYork,90.7,114.0,142.0,5430.0,GBR,1456.832278416773
Male,1982-10-14 00:00:00+00:00,Manila,36.7,46.0,56.0,2172.0,PHL,582.749103393589
Female,1984-04-12 00:00:00+00:00,USA,7.3,22.0,44.0,405.0,USA,135.29089839739368
Female,1988-08-03 00:00:00+00:00,Florida,15.9,35.0,69.0,909.0,USA,278.58120012062614
Male,1986-08-27 00:00:00+00:00,Lavalfrance,182.8,512.0,695.0,10890.0,Lavalfrance,3312.8385372025705
Male,1990-06-28 00:00:00+00:00,NewYork,24.5,22.0,54.0,1439.0,GBR,390.75788462894377
Female,1981-10-21 00:00:00+00:00,BellevueWA,181.1,547.0,790.0,10472.0,USA,3287.6872190155955
Female,1987-03-13 00:00:00+00:00,WarsawPoland,239.2,715.0,1994.0,14300.0,Poland,4976.726655585715
Female,1991-10-17 00:00:00+00:00,Pennsylvania,7.9,11.0,23.0,449.0,USA,127.85928414710955
Male,1985-10-12 00:00:00+00:00,LimaPeru,174.8,1463.0,1612.0,9822.0,Peru,4114.937371646623
Female,1983-05-10 00:00:00+00:00,NewHavenCT,7.2,18.0,21.0,408.0,USA,120.82864013083079
Male,1987-12-19 00:00:00+00:00,Sweden,135.8,260.0,425.0,8159.0,Sweden,2357.391866603748
Male,1987-12-11 00:00:00+00:00,Israel,71.6,72.0,85.0,4233.0,Israel,1112.2158894505174
Male,1985-07-05 00:00:00+00:00,MadisonWisconsin,60.8,80.0,202.0,3608.0,USA,1030.7164226559582
Male,1988-07-12 00:00:00+00:00,UniversityofCentralFlorida,108.2,222.0,256.0,6451.0,USA,1829.1533103025104
Female,1989-01-06 00:00:00+00:00,England,62.0,135.0,253.0,3636.0,England,1097.7603057576569
Female,1988-05-25 00:00:00+00:00,Tartu,66.2,214.0,278.0,3944.0,Tartu,1230.7879128643294
Male,1987-05-02 00:00:00+00:00,HermosilloSonora,152.2,412.0,462.0,9118.0,Sonora,2696.941657151922
Male,1985-10-10 00:00:00+00:00,Budapest,218.8,713.0,1299.0,12594.0,HUN,4180.421845954379
Female,1988-11-08 00:00:00+00:00,BostonMA,26.9,53.0,129.0,1579.0,USA,484.15214708044743
Female,1993-01-22 00:00:00+00:00,UnitedStates,52.7,92.0,121.0,3099.0,States,869.6305682198556
Male,1988-10-14 00:00:00+00:00,Finland,115.5,274.0,290.0,6904.0,Finland,1987.1828427288706
Female,1991-07-11 00:00:00+00:00,AwayInAnUnknownPlaceFarFarAway,85.6,186.0,280.0,5286.0,Away,1538.5993216938987
Male,1988-02-15 00:00:00+00:00,Philadelphiaarea,87.8,211.0,236.0,5196.0,Philadelphiaarea,1508.6777332426545
Male,1982-05-26 00:00:00+00:00,MelbourneAustralia,47.4,163.0,183.0,2782.0,Australia,868.1516482046069
Male,1986-01-16 00:00:00+00:00,WilliamsburgVirginia,180.7,370.0,576.0,10635.0,USA,3104.891114659083
Female,1990-05-17 00:00:00+00:00,LondonEngland,15.0,47.0,90.0,899.0,England,294.3209028802337
Male,1986-10-19 00:00:00+00:00,ScarboroughEngland,101.9,293.0,324.0,6035.0,England,1807.4510875716824
Male,1989-01-19 00:00:00+00:00,FinlandHelsinki,82.9,224.0,295.0,4916.0,FIN,1481.1848173187282
Male,1992-12-17 00:00:00+00:00,SilentHill,347.2,1360.0,1363.0,21518.0,Hill,6731.638900245336
Male,1984-11-12 00:00:00+00:00,rochesterny,189.1,382.0,427.0,11262.0,rochesterny,3179.126455379187
Male,1985-03-11 00:00:00+00:00,AtlantaGeorgia,37.8,182.0,200.0,2121.0,USA,729.5154415124728
Female,1988-04-12 00:00:00+00:00,StockholmSweden,62.8,148.0,195.0,3675.0,Sweden,1082.3825168335327
Female,1983-02-11 00:00:00+00:00,BelfastNorthernIreland,97.7,336.0,388.0,5744.0,Ireland,1797.7305175191088
Male,1991-09-16 00:00:00+00:00,BrasovRomania,54.5,125.0,205.0,3183.0,Romania,955.8339133460995
Female,1990-06-28 00:00:00+00:00,BergenNorway,9.4,12.0,23.0,559.0,Norway,154.83243714056084
Male,1985-08-20 00:00:00+00:00,NormanOklahoma,74.2,229.0,334.0,4436.0,USA,1389.3741541369693
Male,1991-07-28 00:00:00+00:00,Lithuania,120.9,600.0,637.0,7509.0,Lithuania,2510.5821670556516
Male,1986-03-27 00:00:00+00:00,SomewhereinHolland,104.1,248.0,727.0,6289.0,Holland,2066.554114043194
Male,1986-09-08 00:00:00+00:00,MetroAtlantaGeorgia,102.8,264.0,358.0,5902.0,USA,1779.400927496602
Male,1988-12-15 00:00:00+00:00,Brazilo,78.7,117.0,150.0,4689.0,Brazilo,1284.1038681384416
Male,1985-11-07 00:00:00+00:00,Israel,250.7,1175.0,1373.0,16688.0,Israel,5455.152685989002
Female,1991-10-13 00:00:00+00:00,Myimagination,129.0,366.0,592.0,7491.0,Myimagination,2352.018617466386
Male,1987-10-27 00:00:00+00:00,SyracuseNY,50.7,129.0,496.0,2973.0,USA,1069.3590840163597
Female,1991-05-11 00:00:00+00:00,Lithuania,77.9,317.0,411.0,4704.0,Lithuania,1546.949903074872
Female,1984-03-08 00:00:00+00:00,California,217.2,472.0,742.0,12861.0,USA,3793.3996511906466
Male,1985-01-04 00:00:00+00:00,CebuPhilippines,39.8,150.0,285.0,2272.0,Philippines,794.7932470828318
Male,1984-08-09 00:00:00+00:00,utrechtNetherlands,388.4,1437.0,1480.0,22674.0,Netherlands,7132.448215356373
Male,1990-09-20 00:00:00+00:00,Maryland,71.6,140.0,177.0,4255.0,USA,1207.479467919546
Male,1990-10-08 00:00:00+00:00,Sweden,59.7,79.0,109.0,3563.0,Sweden,967.2494139948054
Female,1992-12-30 00:00:00+00:00,AlbertaCanada,12.7,23.0,36.0,743.0,Canada,212.968104378048
Female,1992-06-13 00:00:00+00:00,AthensGreece,63.0,320.0,461.0,3914.0,Greece,1384.6259368424933
Female,1991-10-18 00:00:00+00:00,ElSalvador,109.3,344.0,556.0,6879.0,BRA,2166.1838767693935
Male,1988-08-19 00:00:00+00:00,SouthAfrica,32.6,143.0,177.0,1962.0,Africa,654.5524164884358
Female,1991-02-23 00:00:00+00:00,MonterreyMexico,53.6,69.0,110.0,3167.0,Mexico,866.6549832727742
Female,1988-11-18 00:00:00+00:00,Germany,243.2,421.0,518.0,14524.0,Germany,4040.3988773927404
Female,1988-09-15 00:00:00+00:00,BilzenBelgium,68.2,148.0,151.0,4085.0,Belgium,1156.162384055227
Male,1989-09-07 00:00:00+00:00,PhiladelphiaPennsylvania,47.4,71.0,123.0,2798.0,USA,785.829531716023
Male,1990-02-18 00:00:00+00:00,WashingtonDC,202.1,811.0,1254.0,11604.0,USA,3971.992786797941
Male,1989-07-12 00:00:00+00:00,KilleenTexas,67.4,130.0,173.0,3992.0,USA,1136.0683711793495
Male,1986-12-04 00:00:00+00:00,AbuDhabiUAE,149.1,267.0,400.0,8904.0,AbuDhabiUAE,2528.0168049455783
Male,1990-05-01 00:00:00+00:00,Denmark,33.9,49.0,59.0,1993.0,Denmark,542.9746352139018
Male,1986-05-27 00:00:00+00:00,israel,186.2,531.0,626.0,11305.0,israel,3383.6027248526498
Male,1985-04-09 00:00:00+00:00,Sweden,116.4,373.0,481.0,6837.0,Sweden,2135.15322625694
Male,1991-11-30 00:00:00+00:00,JerusalemIsrael,283.6,1072.0,1305.0,17180.0,Israel,5490.996452629551
Male,1988-07-21 00:00:00+00:00,NotJapan,449.2,1812.0,2019.0,26816.0,Japan,8643.76315952725
Female,1987-08-04 00:00:00+00:00,quezoncityphilippines,0.1,1.0,1.0,1.0,quezoncityphilippines,1.4170364126216533
Female,1985-03-02 00:00:00+00:00,PittsburghPA,31.5,138.0,314.0,1808.0,USA,691.6305688872711
Female,1987-07-28 00:00:00+00:00,ChicagoLouisville,32.4,87.0,126.0,1861.0,Louisville,570.5241324652725
Male,1998-11-24 00:00:00+00:00,MiamiFlorida,35.6,51.0,76.0,2105.0,USA,580.5688508498641
Male,1986-05-11 00:00:00+00:00,MadisonWI,54.9,127.0,151.0,3152.0,USA,919.9024357255232
Female,1989-01-15 00:00:00+00:00,SpokaneWA,112.4,391.0,532.0,6479.0,USA,2088.4309758978593
Male,1990-12-31 00:00:00+00:00,NewYorkUSA,43.4,142.0,353.0,2488.0,USA,880.3182053213146
Female,1987-09-17 00:00:00+00:00,France,77.4,350.0,452.0,4674.0,France,1581.4159407761326
Male,1986-05-05 00:00:00+00:00,Inthetrees_,42.6,121.0,230.0,2486.0,Inthetrees_,798.8590093379433
Male,1988-06-22 00:00:00+00:00,NewYork,221.8,699.0,958.0,13395.0,GBR,4170.242798758462
Male,1988-10-28 00:00:00+00:00,AmsterdamHoland,85.9,263.0,423.0,5046.0,Holand,1606.696777383244
Female,1986-06-25 00:00:00+00:00,OhioUSA,66.2,241.0,290.0,3925.0,USA,1248.4973216943763
Male,1987-08-20 00:00:00+00:00,MontrealQuebec,33.1,152.0,231.0,1951.0,CAN,687.5111912817104
Male,1987-10-14 00:00:00+00:00,AalborgDenmark,22.6,98.0,136.0,1182.0,Denmark,419.1177495259394
Male,1987-03-22 00:00:00+00:00,Germany,280.6,1367.0,1736.0,17349.0,Germany,5937.470471297047
Male,1981-07-17 00:00:00+00:00,NorthWestIndiana,19.9,115.0,164.0,1032.0,Indiana,408.0761153837011
Female,1988-02-22 00:00:00+00:00,CaracasVenezuela,70.8,179.0,268.0,4313.0,Venezuela,1293.5269367171277
Male,1988-04-03 00:00:00+00:00,CliftonNewJersey,188.9,745.0,1143.0,11411.0,Jersey,3820.206600986228
Male,1990-10-02 00:00:00+00:00,Florida,81.7,137.0,527.0,4840.0,USA,1542.3887377683147
Male,1989-08-17 00:00:00+00:00,Rustyspoonville,9.6,42.0,262.0,531.0,Rustyspoonville,298.77280498902553
Female,1990-07-31 00:00:00+00:00,Abrightsmokefreeroom,44.9,51.0,78.0,2629.0,Abrightsmokefreeroom,708.6464425388261
Female,1991-06-26 00:00:00+00:00,Israel,52.8,93.0,335.0,3068.0,Israel,982.3044440641675
Male,1987-12-17 00:00:00+00:00,Germany,56.3,268.0,338.0,3329.0,Germany,1146.652263648254
Female,1992-01-27 00:00:00+00:00,HendersonNevada,66.5,220.0,282.0,3868.0,USA,1218.949047353796
Male,1987-10-29 00:00:00+00:00,RotterdamTheNetherlands,151.3,573.0,699.0,9164.0,Netherlands,2931.2633222246086
Male,1990-07-16 00:00:00+00:00,Israel,26.6,77.0,105.0,1558.0,Israel,479.4535390041442
Male,1991-01-24 00:00:00+00:00,USA,46.3,175.0,299.0,2714.0,USA,923.2378640524453
Female,1987-10-13 00:00:00+00:00,NewYork,6.2,23.0,52.0,340.0,GBR,124.60127230562853
Male,1992-10-16 00:00:00+00:00,Israel,139.3,488.0,789.0,8540.0,Israel,2781.106210388127
Male,1980-12-08 00:00:00+00:00,Netherlands,22.5,85.0,145.0,1195.0,Netherlands,419.6657342619426
Male,1989-04-05 00:00:00+00:00,Southend,25.3,24.0,40.0,1501.0,Southend,398.95546604128424
Male,1986-08-02 00:00:00+00:00,Unknown,121.2,367.0,411.0,7030.0,Unknown,2140.2412990823073
Male,1982-06-01 00:00:00+00:00,Utrecht,105.1,355.0,472.0,6276.0,NLD,1983.1713479264022
Female,1993-03-05 00:00:00+00:00,Overtherainbow,79.3,214.0,338.0,4842.0,Overtherainbow,1480.2287256326854
Male,1989-07-24 00:00:00+00:00,MoscowRussia,40.2,107.0,129.0,2405.0,Russia,714.410707016794
Female,1987-05-13 00:00:00+00:00,Netherlands,59.5,184.0,362.0,3537.0,Netherlands,1162.1193262306806
Male,1986-04-21 00:00:00+00:00,Gothenburg,141.2,490.0,590.0,8245.0,SWE,2603.8424208042343
Male,1984-08-18 00:00:00+00:00,KeistadtTheNetherlands,115.2,533.0,555.0,6746.0,Netherlands,2246.0601684338026
Male,1991-12-26 00:00:00+00:00,BrisbaneAustralia,74.2,252.0,433.0,4573.0,Australia,1489.537752574162
Female,1990-08-08 00:00:00+00:00,TheNetherlands,93.8,118.0,214.0,5655.0,Netherlands,1553.2621354368846
Female,1985-08-12 00:00:00+00:00,SlovakiaEU,86.4,300.0,457.0,5024.0,SlovakiaEU,1641.9641794405609
Male,1985-09-17 00:00:00+00:00,PuntaArenasChile,63.0,86.0,178.0,3755.0,Chile,1056.1635366262665
Female,1987-02-01 00:00:00+00:00,NewWorld,71.6,140.0,214.0,4290.0,World,1236.2331722439446
Female,1987-09-04 00:00:00+00:00,AurillacFrance,7.2,23.0,41.0,398.0,France,132.50833309048093
Female,1992-05-10 00:00:00+00:00,JerusalemIsrael,49.7,41.0,91.0,2944.0,Israel,786.0567852600084
Male,1989-01-08 00:00:00+00:00,NewJersey,146.6,604.0,682.0,8630.0,Jersey,2812.7833651068854
Male,1988-03-10 00:00:00+00:00,Inthelandfarfaraway,80.4,221.0,412.0,4729.0,Inthelandfarfaraway,1499.813473616547
Male,1990-12-15 00:00:00+00:00,SouthFlorida,68.6,138.0,176.0,4032.0,USA,1152.278593602413
Male,1987-02-27 00:00:00+00:00,SouthLakeTahoeCA,135.6,478.0,586.0,7852.0,USA,2500.293138885564
Male,1988-10-12 00:00:00+00:00,NewbergOregon,131.3,294.0,445.0,7726.0,USA,2284.8330469186803
Female,1986-08-30 00:00:00+00:00,NewYorkCityNY,22.4,50.0,71.0,1309.0,USA,384.8583274628723
Male,1980-01-28 00:00:00+00:00,ValgaEstonia,240.8,1251.0,1576.0,15840.0,Estonia,5409.125724766962
Male,1986-10-05 00:00:00+00:00,Israel,107.4,286.0,402.0,6901.0,Israel,2051.2606675500283
Male,1990-12-27 00:00:00+00:00,BehindyouOtherwiseIminCanada,192.3,823.0,1430.0,11967.0,Canada,4155.863079486442
Female,1986-12-11 00:00:00+00:00,NorthCarolina,98.8,244.0,298.0,6011.0,Carolina,1757.6438227577019
Female,1985-10-23 00:00:00+00:00,Israel,170.9,705.0,804.0,10428.0,Israel,3369.9412838726134
Female,1985-12-06 00:00:00+00:00,Ohio,46.7,47.0,65.0,2706.0,USA,718.0124420892656
Female,1992-06-24 00:00:00+00:00,UK,17.8,57.0,97.0,999.0,GBR,328.7387113625854
Male,1987-04-17 00:00:00+00:00,AngersFrance,74.0,245.0,431.0,4383.0,France,1440.1462275427325
Male,1988-09-17 00:00:00+00:00,NorwayOslo,125.9,244.0,270.0,7479.0,NOR,2098.312068501055
Male,1992-08-14 00:00:00+00:00,secret,85.7,195.0,436.0,5185.0,secret,1607.2562665678045
Male,1990-12-12 00:00:00+00:00,HammerfestNorway,45.7,64.0,79.0,2741.0,Norway,743.1145839800199
Male,1986-09-04 00:00:00+00:00,OntheBorderbetweenGensokyoandAsgard,50.0,124.0,206.0,2937.0,Asgard,896.14014671774
Male,1988-10-05 00:00:00+00:00,Israel,82.3,220.0,267.0,4772.0,Israel,1429.4901333391213
Male,1983-12-17 00:00:00+00:00,ValeofGlamorganSouthWales,22.2,36.0,136.0,1299.0,Wales,410.63904545718674
Male,1989-09-19 00:00:00+00:00,ShanghaiChina,30.0,120.0,161.0,1675.0,China,564.3309692750736
Male,1991-04-13 00:00:00+00:00,Israel,55.4,195.0,201.0,3103.0,Israel,975.535966020325
Male,1987-02-13 00:00:00+00:00,HollywoodFL,9.5,14.0,21.0,570.0,USA,157.47390341910983
Female,1992-05-08 00:00:00+00:00,CandyLandXD,0.0,0.0,1.0,0.0,CandyLandXD,0.5572529133568599
Female,1992-04-02 00:00:00+00:00,WalesUK,68.2,124.0,209.0,4078.0,GBR,1173.1326905298424
Female,1988-05-21 00:00:00+00:00,Oregon,219.8,729.0,765.0,12949.0,USA,3975.0687214534655
Female,1985-10-04 00:00:00+00:00,Maine,403.6,2009.0,2636.0,28344.0,USA,9430.072796084176
Female,1993-09-18 00:00:00+00:00,Malaysia,3.2,13.0,15.0,161.0,Malaysia,54.9921548237834
Male,1991-09-26 00:00:00+00:00,UticaNewYork,48.5,96.0,175.0,2891.0,GBR,851.329510793569
Female,1980-02-02 00:00:00+00:00,LaPuenteCalifornia,104.9,226.0,271.0,6191.0,USA,1777.5324589911552
Female,1991-01-20 00:00:00+00:00,Australia,339.9,1398.0,6954.0,20904.0,Australia,9722.19676089008
Female,1991-12-02 00:00:00+00:00,Massachusetts,22.9,52.0,83.0,1405.0,USA,415.2807692487294
Female,1990-05-30 00:00:00+00:00,sweden,68.2,238.0,416.0,3976.0,sweden,1329.960962092708
