English name,Score,Genres,Type,Aired,Producers,Studios,Rank,Popularity,Favorites,Scored By,Members,Weighted_Score,Aired_Year,Start Month,Season
Berserk,8.56,"Action, Adventure, Drama, Fantasy, Horror",TV,"Oct 8, 1997 to Apr 1, 1998","VAP, Hakusensha, Nippon Television Network",OLM,96.0,325,25404,325204.0,608800,80.61092289943474,1997,Oct,Fall
Ghost in the Shell,8.27,"Action, Award Winning, Mystery, Sci-Fi, Suspense",Movie,"Nov 18, 1995","Bandai Visual, Kodansha",Production I.G,276.0,329,12339,315593.0,604276,80.01561980706265,1995,Nov,Winter
Samurai X: Trust and Betrayal,8.71,"Action, Drama, Romance",OVA,"Feb 20, 1999 to Sep 22, 1999",Aniplex,Studio Deen,48.0,834,6137,134133.0,268621,72.59305663043043,1999,Feb,Spring
Rurouni Kenshin,8.29,"Action, Adventure, Comedy, Romance",TV,"Jan 10, 1996 to Sep 8, 1998","Aniplex, SME Visual Works, Fuji TV","Gallop, Studio Deen",249.0,432,9907,230278.0,477389,77.12751660643316,1996,Jan,Winter
Samurai X: The Motion Picture,7.55,Drama,Movie,"Dec 20, 1997","Fuji TV, Sony Music Entertainment",Gallop,1567.0,2885,88,26859.0,50732,56.422005339787916,1997,Dec,Winter
Akira,8.16,"Action, Adventure, Horror, Sci-Fi, Supernatural",Movie,"Jul 16, 1988","Mainichi Broadcasting System, Kodansha, Toho, Streamline Pictures",Tokyo Movie Shinsha,389.0,208,12961,485580.0,804581,83.87103637106607,1988,Jul,Summer
.hack//Sign,6.95,"Adventure, Fantasy, Mystery",TV,"Apr 4, 2002 to Sep 26, 2002","Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2",Bee Train,4172.0,1243,1343,83009.0,178659,66.07706307805441,2002,Apr,Spring
Oh! My Goddess,7.29,"Comedy, Romance, Supernatural",OVA,"Feb 21, 1993 to May 17, 1994","Bandai Visual, KSS, Pony Canyon, TBS, Kodansha, Half H.P Studio, Nichion",AIC,2542.0,2832,246,26400.0,52627,55.93921778598255,1993,Feb,Spring
Ah! My Goddess,7.32,"Comedy, Romance, Supernatural",TV,"Jan 7, 2005 to Jul 8, 2005","Bandai Visual, TBS, Imagine",AIC,2407.0,1392,1115,76377.0,155745,65.78711086337614,2005,Jan,Winter
Angel Sanctuary,6.27,"Action, Drama, Romance, Supernatural",OVA,"May 25, 2000 to Aug 25, 2000","Bandai Visual, Lantis, Audio Tanaka",Hal Film Maker,7564.0,2958,182,26701.0,48258,54.652022567649816,2000,May,Summer
Battle Doll Angelic Layer,7.26,"Award Winning, Comedy, Drama, Sci-Fi, Sports",TV,"Apr 1, 2001 to Sep 23, 2001","Dentsu, TV Tokyo Music",Bones,2727.0,2707,291,28552.0,57259,56.62477878293125,2001,Apr,Spring
Ai Yori Aoshi,7.11,"Comedy, Drama, Romance",TV,"Apr 11, 2002 to Sep 26, 2002","Movic, Fuji TV, Pioneer LDC, Cosmic Ray",J.C.Staff,3471.0,1839,447,52942.0,108460,62.134007342218524,2002,Apr,Spring
UNKNOWN,7.06,"Action, Drama, Sci-Fi",Movie,"Apr 17, 2004","Mainichi Broadcasting System, Toho, TYO Animations, TYO",Digital Frontier,3723.0,2370,170,41210.0,72186,59.755447715112886,2004,Apr,Spring
UNKNOWN,6.51,"Action, Adventure, Fantasy, Horror, Sci-Fi",TV,"Apr 5, 1999 to Oct 11, 1999","Sony Pictures Entertainment, Aniplex, Sony Interactive Entertainment",Bee Train,6294.0,5012,14,5911.0,16013,41.07447111872911,1999,Apr,Spring
UNKNOWN,5.86,"Adventure, Fantasy, Sci-Fi",TV,"Oct 2, 2003 to Dec 25, 2003",Yomiko Advertising,Bee Train,9454.0,4856,20,6788.0,17396,41.3806014607108,2003,Oct,Fall
Beck: Mongolian Chop Squad,8.29,"Comedy, Drama, Slice of Life",TV,"Oct 7, 2004 to Mar 31, 2005","Marvelous, Starchild Records, Asatsu DK, Kodansha",Madhouse,252.0,669,8149,136432.0,327015,72.29360570484818,2004,Oct,Fall
Blue Gender,7.03,"Adventure, Drama, Horror, Romance, Sci-Fi",TV,"Oct 8, 1999 to Mar 31, 2000","Youmex, Toshiba EMI",AIC,3873.0,2256,415,29649.0,78193,56.675644979660866,1999,Oct,Fall
Chobits,7.4,"Comedy, Drama, Romance, Sci-Fi, Ecchi",TV,"Apr 3, 2002 to Sep 25, 2002","TBS, Pioneer LDC",Madhouse,2080.0,441,3824,249019.0,469408,76.80127900118961,2002,Apr,Spring
Chrono Crusade,7.62,"Action, Romance, Supernatural",TV,"Nov 25, 2003 to Jun 10, 2004","Lantis, Kadokawa Shoten, Fuji TV",Gonzo,1322.0,1010,1939,102723.0,221814,68.89471358465283,2003,Nov,Winter
D.N.Angel,7.17,"Action, Comedy, Fantasy, Romance",TV,"Apr 3, 2003 to Sep 25, 2003",Kadokawa Shoten,Xebec,3180.0,1211,1257,98061.0,182259,67.90369295992969,2003,Apr,Spring
D.C.~Da Capo~,6.72,"Drama, Romance",TV,"Jul 5, 2003 to Dec 27, 2003","Lantis, King Records","feel., Zexcs",5215.0,2320,194,30349.0,74844,56.474671425065104,2003,Jul,Summer
DearS,6.56,"Comedy, Romance, Sci-Fi, Ecchi",TV,"Jul 11, 2004 to Sep 26, 2004","Bandai Visual, Hal Film Maker, Genco, Lantis",Daume,6027.0,1460,346,78611.0,145533,65.04105769075528,2004,Jul,Summer
Rozen Maiden,7.41,"Action, Comedy, Drama",TV,"Oct 8, 2004 to Dec 24, 2004","Mellow Head, Pony Canyon, TBS, Memory-Tech, Studio Jack",Nomad,2053.0,1120,1936,95684.0,199570,67.98113494108566,2004,Oct,Fall
Rozen Maiden: Träumend,7.62,"Action, Comedy, Drama",TV,"Oct 21, 2005 to Jan 27, 2006","Mellow Head, TBS",Nomad,1340.0,1898,450,57969.0,102972,63.61139444575151,2005,Oct,Fall
Azumanga Daioh: The Animation,7.99,"Comedy, Slice of Life",TV,"Apr 9, 2002 to Oct 1, 2002","Genco, Lantis, Imagica, TV Tokyo Music, Cosmic Ray, King Records",J.C.Staff,603.0,668,6327,146773.0,327945,72.62791047028855,2002,Apr,Spring
Basilisk,7.55,"Action, Drama, Romance",TV,"Apr 13, 2005 to Sep 21, 2005","GDH, Kodansha, Sotsu Music Publishing",Gonzo,1539.0,1213,1371,76398.0,182074,66.0753397876659,2005,Apr,Spring
Black Cat,7.33,"Action, Adventure, Sci-Fi",TV,"Oct 7, 2005 to Mar 31, 2006","GDH, Dentsu, TBS, Sotsu Music Publishing",Gonzo,2389.0,846,1779,127273.0,264622,70.51534794125809,2005,Oct,Fall
UNKNOWN,6.31,"Action, Fantasy, Sci-Fi",TV,"Oct 5, 2005 to Mar 29, 2006","Bandai Visual, Imagine",Sunrise,7357.0,5917,13,2996.0,10561,34.511365189116276,2005,Oct,Fall
Full Metal Panic!,7.61,"Action, Comedy, Sci-Fi",TV,"Jan 8, 2002 to Jun 18, 2002","Kadokawa Shoten, KlockWorx",Gonzo,1356.0,422,4326,236646.0,482069,76.5890634709326,2002,Jan,Winter
Full Metal Panic? Fumoffu,8.03,"Action, Comedy",TV,"Aug 26, 2003 to Nov 18, 2003","Tatsunoko Production, Kadokawa Shoten, Fuji TV, Imagica, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Happinet Pictures, Animation Do",Kyoto Animation,548.0,769,2907,171852.0,289064,74.13073834922488,2003,Aug,Fall
Full Metal Panic! The Second Raid,7.93,Action,TV,"Jul 14, 2005 to Oct 20, 2005","WOWOW, Kadokawa Shoten, KlockWorx, Happinet Pictures",Kyoto Animation,682.0,878,1268,145898.0,255279,72.50308607167084,2005,Jul,Summer
Gakuen Alice,7.64,"Comedy, Fantasy",TV,"Oct 30, 2004 to May 14, 2005","Aniplex, Sogo Vision",Group TAC,1276.0,1975,1397,50323.0,97186,62.32941508434645,2004,Oct,Fall
Fafner,7.26,"Action, Drama, Sci-Fi",TV,"Jul 5, 2004 to Dec 27, 2004","TV Tokyo Music, King Records",Xebec,2751.0,3000,260,14750.0,47077,50.52556412066572,2004,Jul,Summer
Magical Girl Lyrical Nanoha,7.41,"Action, Comedy, Drama",TV,"Oct 3, 2004 to Dec 26, 2004","Starchild Records, Omnibus Japan",Seven Arcs,2044.0,1921,1038,41202.0,101048,60.20046953428387,2004,Oct,Fall
Magical Girl Lyrical Nanoha A's,7.97,"Action, Comedy, Drama",TV,"Oct 2, 2005 to Dec 25, 2005","Starchild Records, Omnibus Japan",Seven Arcs,622.0,2555,993,33024.0,63640,58.83008743487778,2005,Oct,Fall
Shuffle!,7.03,"Comedy, Drama, Fantasy, Romance, Ecchi",TV,"Jul 8, 2005 to Jan 6, 2006","Xebec, Lantis, Kadokawa Shoten, KlockWorx, Memory-Tech",asread.,3854.0,820,1461,133611.0,273378,70.57822943642849,2005,Jul,Summer
Mobile Suit Gundam,7.76,"Action, Drama, Sci-Fi",TV,"Apr 7, 1979 to Jan 26, 1980","Sotsu, Nagoya Broadcasting Network",Sunrise,1005.0,1632,2140,56938.0,126804,63.613800368251546,1979,Apr,Spring
Mobile Suit Gundam: The 08th MS Team,8.01,"Adventure, Drama, Romance, Sci-Fi",OVA,"Jan 25, 1996 to Jul 25, 1999",Atelier Musa,Sunrise,571.0,2231,1064,43859.0,79682,61.496563423833926,1996,Jan,Winter
Mobile Suit Gundam 0080: War in the Pocket,7.96,"Drama, Sci-Fi",OVA,"Mar 25, 1989 to Aug 25, 1989",Bandai Visual,Sunrise,630.0,2718,966,31259.0,56839,58.311268550776184,1989,Mar,Spring
Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.76,"Drama, Romance, Sci-Fi",Movie,"Aug 1, 1998","Sotsu, Atelier Musa",Sunrise,5014.0,5384,3,6621.0,13284,42.469911400140745,1998,Aug,Fall
Mobile Suit Gundam 0083: Stardust Memory,7.24,"Adventure, Drama, Romance, Sci-Fi",OVA,"May 23, 1991 to Sep 24, 1992",Bandai Visual,Sunrise,2801.0,3173,251,23874.0,42580,54.946914686887744,1991,May,Summer
Mobile Suit Zeta Gundam,7.9,"Drama, Romance, Sci-Fi",TV,"Mar 2, 1985 to Feb 22, 1986","Sotsu, Nagoya Broadcasting Network",Sunrise,719.0,2401,2117,35809.0,70651,59.49629105124977,1985,Mar,Spring
Mobile Suit Gundam ZZ,6.68,"Comedy, Drama, Sci-Fi",TV,"Mar 1, 1986 to Jan 31, 1987","Sotsu, Nagoya Broadcasting Network",Sunrise,5437.0,3254,178,19985.0,40669,52.561548465709315,1986,Mar,Spring
Mobile Suit Gundam: Char's Counterattack,7.66,"Drama, Sci-Fi",Movie,"Mar 12, 1988","Sotsu, Nozomi Entertainment, Atelier Musa",Sunrise,1225.0,3005,422,27623.0,46928,56.8145836745963,1988,Mar,Spring
Mobile Suit Gundam F91,6.62,"Drama, Sci-Fi",Movie,"Mar 16, 1991","Sotsu, Shochiku, Atelier Musa, Nagoya Broadcasting Network",Sunrise,5740.0,3771,82,16605.0,30560,50.76728775963442,1991,Mar,Spring
Mobile Suit Victory Gundam,6.77,"Drama, Sci-Fi",TV,"Apr 2, 1993 to Mar 25, 1994","TV Asahi, Sotsu, Apollon",Sunrise,4996.0,4037,136,10400.0,26469,46.653424004896536,1993,Apr,Spring
Mobile Suit Gundam Wing,7.69,"Action, Drama, Sci-Fi",TV,"Apr 7, 1995 to Mar 29, 1996",TV Asahi,Sunrise,1168.0,1391,2334,87593.0,155744,67.50777687211858,1995,Apr,Spring
Mobile Suit Gundam Wing: Endless Waltz,7.74,"Action, Award Winning, Drama, Sci-Fi",OVA,"Jan 25, 1997 to Jul 25, 1997","Bandai Visual, Sotsu",Sunrise,1050.0,2996,176,27092.0,47208,56.73128333875838,1997,Jan,Winter
After War Gundam X,7.34,"Adventure, Drama, Sci-Fi",TV,"Apr 5, 1996 to Dec 28, 1996","TV Asahi, Sotsu",Sunrise,2330.0,3534,199,15331.0,34851,50.983526484629564,1996,Apr,Spring
Mobile Suit Gundam SEED,7.75,"Action, Award Winning, Drama, Romance, Sci-Fi",TV,"Oct 5, 2002 to Sep 27, 2003","Sotsu, Asatsu DK, Mainichi Broadcasting System, Sony Music Entertainment, Atelier Musa",Sunrise,1011.0,1330,3435,92725.0,164436,68.1053339089541,2002,Oct,Fall
Mobile Suit Gundam SEED Destiny,7.18,"Action, Drama, Romance, Sci-Fi",TV,"Oct 9, 2004 to Oct 1, 2005","Sotsu, Mainichi Broadcasting System, Sony Music Entertainment",Sunrise,3122.0,1887,1063,63114.0,104048,63.84740296935829,2004,Oct,Fall
∀ Gundam,7.74,"Action, Adventure, Award Winning, Drama, Romance, Sci-Fi",TV,"Apr 9, 1999 to Apr 14, 2000","Sotsu, Fuji TV, Nakamura Production",Sunrise,1057.0,3041,965,16137.0,45772,51.94668592279938,1999,Apr,Spring
Mobile Fighter G Gundam,7.57,"Adventure, Comedy, Drama, Romance, Sci-Fi, Sports",TV,"Apr 1, 1994 to Mar 31, 1995","TV Asahi, Sotsu",Sunrise,1451.0,2483,978,36150.0,66828,59.18977971996505,1994,Apr,Spring
Last Exile,7.79,"Action, Adventure, Sci-Fi",TV,"Apr 8, 2003 to Sep 30, 2003","GDH, Victor Entertainment, TV Tokyo Music",Gonzo,943.0,1297,1825,69879.0,170062,65.54067967830827,2003,Apr,Spring
My-Hime,7.42,"Action, Fantasy, Girls Love",TV,"Oct 1, 2004 to Apr 1, 2005","Bandai Visual, TV Tokyo Music, Studio Zain",Sunrise,1981.0,1781,1146,51203.0,113210,62.21968471181231,2004,Oct,Fall
My-Otome,7.28,"Comedy, Drama, Fantasy",TV,"Oct 7, 2005 to Mar 31, 2006","Bandai Visual, Lantis, TV Tokyo Music",Sunrise,2631.0,2896,303,25042.0,50454,55.43887274921445,2005,Oct,Fall
Prétear: The New Legend of Snow White,7.16,"Comedy, Drama, Fantasy, Romance",TV,"Apr 4, 2001 to Jun 27, 2001","Kadokawa Shoten, Rondo Robe",Hal Film Maker,3271.0,2589,409,28219.0,62156,56.388363822910335,2001,Apr,Spring
Air,7.28,"Drama, Romance, Supernatural",TV,"Jan 7, 2005 to Mar 25, 2005","Pony Canyon, TBS, Movic",Kyoto Animation,2603.0,761,2605,151312.0,292351,72.04980057465222,2005,Jan,Winter
UNKNOWN,7.44,"Comedy, Drama, Romance",TV,"Apr 3, 2004 to Oct 9, 2004","Animax, Toei Video, Sunny Side Up",TMS Entertainment,1895.0,1919,546,52861.0,101134,62.53882446628373,2004,Apr,Spring
Red Riding Hood Chacha,7.49,"Adventure, Comedy, Fantasy, Romance",TV,"Jan 7, 1994 to Jun 30, 1995","Nihon Ad Systems, Shueisha",Gallop,1733.0,5140,110,5335.0,14917,41.422633491600756,1994,Jan,Winter
"Ceres, Celestial Legend",7.18,"Adventure, Drama, Horror, Romance, Supernatural, Suspense",TV,"Apr 20, 2000 to Sep 28, 2000",Bandai Visual,Pierrot,3156.0,2628,482,27320.0,60668,56.115142573632845,2000,Apr,Spring
Boys Be...,6.4,"Comedy, Romance, Slice of Life",TV,"Apr 11, 2000 to Jul 4, 2000",Geneon Universal Entertainment,Hal Film Maker,6889.0,4306,42,9195.0,22934,44.99724619827241,2000,Apr,Spring
Hana Yori Dango,7.61,"Drama, Romance",TV,"Sep 8, 1996 to Aug 31, 1997",UNKNOWN,Toei Animation,1359.0,2643,769,24437.0,59814,55.622419716326036,1996,Sep,Fall
Jing: King of Bandits,7.19,"Adventure, Comedy, Fantasy, Sci-Fi",TV,"May 15, 2002 to Aug 14, 2002",Aniplex,Studio Deen,3109.0,3440,206,14288.0,36942,50.14222672150981,2002,May,Summer
Jing: King of Bandits - Seventh Heaven,7.25,"Adventure, Comedy, Fantasy",OVA,"Jan 21, 2004 to Apr 28, 2004",Aniplex,Studio Deen,2793.0,5457,24,5491.0,12873,41.38804343617167,2004,Jan,Winter
Burst Angel,6.79,"Adventure, Comedy, Sci-Fi",TV,"Apr 7, 2004 to Sep 15, 2004","GDH, TV Asahi, Imagica",Gonzo,4892.0,2435,234,30890.0,69227,56.73352989955607,2004,Apr,Spring
UNKNOWN,7.58,"Action, Comedy, Drama, Gourmet",TV,"Apr 27, 1997 to Sep 13, 1998",UNKNOWN,Nippon Animation,1432.0,4649,113,8106.0,19292,45.39580063578568,1997,Apr,Spring
Corrector Yui,6.97,"Adventure, Comedy, Sci-Fi",TV,"Apr 9, 1999 to Oct 20, 2000","NHK, Studio Tron",Nippon Animation,4110.0,5031,92,6635.0,15804,42.77191614487595,1999,Apr,Spring
The Cosmopolitan Prayers,4.82,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Ecchi",TV,"Jan 13, 2004 to Mar 2, 2004",m.o.e.,"Imagin, Studio Live",12171.0,6433,5,3197.0,8567,32.623689873297494,2004,Jan,Winter
Stellvia,7.37,"Action, Romance, Sci-Fi",TV,"Apr 3, 2003 to Sep 25, 2003","Starchild Records, TV Tokyo Music",Xebec,2176.0,4220,119,9484.0,24116,46.58616973207109,2003,Apr,Spring
Cromartie High School,7.9,Comedy,TV,"Oct 3, 2003 to Mar 26, 2004",TV Tokyo Music,Production I.G,722.0,1549,1600,52849.0,134468,63.09072344212322,2003,Oct,Fall
UNKNOWN,6.79,"Adventure, Comedy, Fantasy",TV,"Jan 8, 1998 to Mar 26, 1998",Pioneer LDC,AIC,4906.0,5731,8,4915.0,11370,39.75940241213253,1998,Jan,Winter
El-Hazard: The Wanderers,6.93,"Adventure, Comedy, Fantasy, Romance",TV,"Oct 6, 1995 to Mar 29, 1996","TV Tokyo, Geneon Universal Entertainment, SoftX, Pioneer LDC, TV Tokyo Music, Atelier Musa",AIC,4257.0,4846,35,7070.0,17489,43.30516562787478,1995,Oct,Fall
UNKNOWN,7.26,"Adventure, Comedy, Fantasy, Romance",OVA,"May 26, 1995 to Jan 25, 1996",Pioneer LDC,AIC,2720.0,4693,95,7676.0,18867,44.49416311886465,1995,May,Summer
UNKNOWN,6.78,"Adventure, Comedy, Fantasy",OVA,"Mar 21, 1997 to Oct 25, 1997",Pioneer LDC,AIC,4926.0,6314,6,4238.0,9011,38.377277281521586,1997,Mar,Spring
UNKNOWN,6.52,"Comedy, Drama, Romance",TV,"Oct 3, 2004 to Dec 26, 2004",UNKNOWN,"Trinet Entertainment, Zexcs",6278.0,3525,46,17478.0,35110,51.09989488460869,2004,Oct,Fall
Fruits Basket,7.69,"Drama, Romance, Supernatural",TV,"Jul 5, 2001 to Dec 27, 2001","TV Tokyo, Nihon Ad Systems, King Records",Studio Deen,1174.0,389,9255,276380.0,524623,78.1189374117674,2001,Jul,Summer
Fullmetal Alchemist,8.11,"Action, Adventure, Award Winning, Drama, Fantasy",TV,"Oct 4, 2003 to Oct 2, 2004","Aniplex, Dentsu, Square Enix, Mainichi Broadcasting System",Bones,454.0,76,25502,868434.0,1426703,89.18274661781673,2003,Oct,Fall
Searching for the Full Moon,7.94,"Comedy, Drama, Romance, Supernatural",TV,"Apr 6, 2002 to Mar 29, 2003",Nihon Ad Systems,Studio Deen,660.0,1860,1782,46837.0,106414,62.02215485562439,2002,Apr,Spring
Mysterious Play,7.61,"Adventure, Fantasy, Romance",TV,"Apr 6, 1995 to Mar 28, 1996","TV Tokyo, Shogakukan-Shueisha Productions, Yomiko Advertising, Apollon",Pierrot,1357.0,1748,2043,51017.0,115885,62.419564612278954,1995,Apr,Spring
Mysterious Play: Eikoden,6.82,"Adventure, Drama, Fantasy, Romance",OVA,"Dec 21, 2001 to Jun 25, 2002",UNKNOWN,Pierrot,4776.0,4833,40,8944.0,17611,45.32861741429041,2001,Dec,Winter
Twin Love,6.44,"Comedy, Romance",TV,"Oct 6, 2004 to Dec 29, 2004",Lantis,Telecom Animation Film,6666.0,3540,23,15858.0,34677,50.08766458219081,2004,Oct,Fall
UNKNOWN,6.86,"Comedy, Drama, Romance",TV,"Apr 7, 2005 to Jun 30, 2005",Lantis,"ufotable, feel., Studio Flag",4571.0,3750,78,11670.0,30944,47.8393245605212,2005,Apr,Spring
UNKNOWN,6.92,"Action, Comedy, Fantasy, Sci-Fi",TV,"Apr 3, 2000 to Sep 18, 2000",Media Factory,Gonzo,4314.0,4404,54,9255.0,21786,45.778676371906805,2000,Apr,Spring
UNKNOWN,6.74,"Action, Drama, Sci-Fi",OVA,"Apr 24, 2002 to Jan 8, 2003",UNKNOWN,Gonzo,5125.0,5946,21,4508.0,10417,38.89296160320133,2002,Apr,Spring
Saiyuki,7.55,"Action, Adventure, Comedy, Drama, Supernatural",TV,"Apr 4, 2000 to Mar 27, 2001","TV Tokyo, Dentsu, Group TAC",Pierrot,1545.0,2791,776,21181.0,53858,54.228850597923554,2000,Apr,Spring
Saiyuki Reload,7.37,"Action, Adventure, Comedy, Drama, Supernatural",TV,"Oct 2, 2003 to Mar 25, 2004",UNKNOWN,Pierrot,2211.0,3560,112,13300.0,34249,49.70885973289428,2003,Oct,Fall
Saiyuki Gunlock,7.37,"Action, Adventure, Comedy, Drama, Supernatural",TV,"Apr 2, 2004 to Sep 24, 2004",UNKNOWN,Pierrot,2211.0,4298,46,8463.0,22999,45.53435045941814,2004,Apr,Spring
Getbackers,7.58,"Action, Mystery, Supernatural",TV,"Oct 5, 2002 to Sep 20, 2003","TBS, Kodansha, Rondo Robe, Rakuonsha",Studio Deen,1438.0,1703,867,53000.0,119875,62.73522792928228,2002,Oct,Fall
Green Green,6.15,"Comedy, Romance, Ecchi",TV,"Jul 13, 2003 to Sep 28, 2003","Pony Canyon, Memory-Tech, Studio Jack",Studio Matrix,8102.0,1750,221,65710.0,115548,62.78969386023165,2003,Jul,Summer
Gunslinger Girl,7.39,"Action, Drama, Sci-Fi",TV,"Oct 9, 2003 to Feb 19, 2004","Marvelous, Fuji TV",Madhouse,2127.0,1191,1153,76112.0,185016,65.84290340143696,2003,Oct,Fall
Hikaru no Go,8.08,"Comedy, Drama, Supernatural",TV,"Oct 10, 2001 to Mar 26, 2003","TV Tokyo, Dentsu, Dream Force",Pierrot,491.0,1557,2341,61567.0,133599,64.7087598404399,2001,Oct,Fall
