Gender,Birthday,Location,Days Watched,Watching,Completed,On Hold,Plan to Watch,Total Entries,Rewatched,Episodes Watched,Country,ISO3_Code
Male,1978-12-08 00:00:00+00:00,MiamiBeach,70.9,22.0,167.0,3.0,79.0,281.0,0.0,4162.0,Beach,Invalid country name
Male,1992-06-15 00:00:00+00:00,Norway,180.7,31.0,567.0,19.0,0.0,662.0,180.0,11283.0,Norway,NOR
Male,1986-05-28 00:00:00+00:00,AustinTexas,130.5,7.0,162.0,5.0,22.0,196.0,19.0,7833.0,USA,USA
Female,1990-05-28 00:00:00+00:00,US,52.9,35.0,91.0,20.0,11.0,159.0,0.0,3142.0,USA,USA
Male,1987-04-17 00:00:00+00:00,Sweden,36.1,5.0,121.0,8.0,44.0,178.0,0.0,2077.0,Sweden,SWE
Male,1981-07-09 00:00:00+00:00,CarlislePennsylvania,102.1,1.0,217.0,0.0,0.0,218.0,25.0,6012.0,USA,USA
Female,1983-08-11 00:00:00+00:00,HarrisburgPA,238.5,12.0,754.0,16.0,109.0,916.0,28.0,14108.0,USA,USA
Male,1990-06-25 00:00:00+00:00,Latvia,61.1,5.0,150.0,21.0,18.0,198.0,10.0,3610.0,Latvia,LVA
Female,1981-08-07 00:00:00+00:00,StockholmSweden,63.6,5.0,138.0,17.0,25.0,188.0,21.0,3669.0,Sweden,SWE
Female,1990-10-28 00:00:00+00:00,CaiforniawiththePikas,492.6,79.0,1816.0,35.0,78.0,2027.0,325.0,29778.0,Pikas,Invalid country name
Male,1979-08-03 00:00:00+00:00,SouthamptonUnitedKingdom,78.7,28.0,136.0,20.0,74.0,280.0,14.0,4680.0,Kingdom,BEL
Female,1991-06-16 00:00:00+00:00,QueensNewYork,112.5,3.0,380.0,1.0,14.0,561.0,88.0,6566.0,GBR,GBR
Male,1990-09-06 00:00:00+00:00,EnglandUK,32.9,5.0,48.0,56.0,49.0,163.0,4.0,1945.0,GBR,GBR
Male,1987-06-04 00:00:00+00:00,Intheshadowsofmankind,87.2,25.0,209.0,112.0,644.0,990.0,2.0,5241.0,Intheshadowsofmankind,Invalid country name
Male,1989-12-15 00:00:00+00:00,PortlandOregon,33.4,3.0,78.0,0.0,1.0,82.0,5.0,1924.0,USA,USA
Male,1988-12-30 00:00:00+00:00,California,116.5,1.0,355.0,20.0,55.0,436.0,11.0,6960.0,USA,USA
Male,1987-05-14 00:00:00+00:00,LaMiradaCalifornia,78.6,0.0,128.0,14.0,0.0,177.0,33.0,4628.0,USA,USA
Male,1987-03-09 00:00:00+00:00,LasVegasNevada,108.2,39.0,294.0,31.0,13.0,381.0,0.0,6343.0,USA,USA
Male,1984-03-16 00:00:00+00:00,BakersfieldCalifornia,58.3,9.0,71.0,2.0,0.0,82.0,121.0,3164.0,USA,USA
Male,1991-02-01 00:00:00+00:00,LondonUK,168.2,52.0,269.0,16.0,744.0,1086.0,42.0,10074.0,GBR,GBR
Male,1987-03-11 00:00:00+00:00,AtlantaGA,298.3,2.0,1332.0,15.0,20.0,1429.0,21.0,17744.0,USA,USA
Male,1988-01-25 00:00:00+00:00,BergenNorway,54.8,21.0,131.0,7.0,49.0,217.0,4.0,3182.0,Norway,NOR
Female,1988-01-31 00:00:00+00:00,Hungary,216.5,78.0,704.0,81.0,8.0,979.0,3.0,13416.0,Hungary,HUN
Male,1985-12-17 00:00:00+00:00,TorontoOntarioCanada,197.8,6.0,667.0,11.0,4.0,694.0,0.0,11716.0,Canada,CAN
Male,1991-10-03 00:00:00+00:00,BellinghamWashington,39.3,1.0,76.0,16.0,5.0,120.0,0.0,2298.0,USA,USA
Male,1987-01-31 00:00:00+00:00,Withdrawnintomyself,218.9,17.0,818.0,0.0,6.0,843.0,23.0,13203.0,Withdrawnintomyself,Invalid country name
Female,1988-04-11 00:00:00+00:00,Lithuania,129.6,2.0,386.0,5.0,41.0,495.0,5.0,7663.0,Lithuania,LTU
Male,1986-10-21 00:00:00+00:00,France,179.5,4.0,622.0,1.0,55.0,783.0,19.0,11026.0,France,FRA
Female,1986-05-08 00:00:00+00:00,UppsalaSweden,37.6,2.0,49.0,0.0,14.0,67.0,4.0,2214.0,Sweden,SWE
Male,1981-05-26 00:00:00+00:00,TorontoOntario,29.7,5.0,45.0,0.0,0.0,51.0,0.0,1752.0,Ontario,CAN
Male,1990-01-07 00:00:00+00:00,SugarLandTexas,54.8,7.0,128.0,39.0,331.0,510.0,3.0,3258.0,USA,USA
Male,1989-06-27 00:00:00+00:00,France,77.6,16.0,190.0,12.0,63.0,288.0,6.0,4501.0,France,FRA
Female,1963-06-10 00:00:00+00:00,ColumbusGeorgia,219.9,12.0,766.0,6.0,49.0,895.0,18.0,13339.0,USA,USA
Male,1985-12-16 00:00:00+00:00,Mexico,121.9,118.0,546.0,10.0,319.0,1060.0,18.0,7463.0,Mexico,MEX
Male,1984-09-16 00:00:00+00:00,Sweden,118.5,7.0,252.0,51.0,0.0,318.0,0.0,6984.0,Sweden,SWE
Male,1986-01-29 00:00:00+00:00,AustinTX,90.8,5.0,274.0,22.0,8.0,354.0,0.0,5234.0,USA,USA
Male,1987-11-22 00:00:00+00:00,ClevelandOhio,58.6,3.0,224.0,0.0,0.0,227.0,2.0,3556.0,USA,USA
Non-Binary,1987-12-06 00:00:00+00:00,LouisvilleKY,69.1,20.0,127.0,7.0,12.0,172.0,0.0,4269.0,USA,USA
Female,1988-09-18 00:00:00+00:00,Offsomewhere_,34.5,3.0,136.0,29.0,48.0,223.0,1.0,1975.0,Offsomewhere_,Invalid country name
Female,1977-03-21 00:00:00+00:00,California,64.4,5.0,202.0,7.0,2.0,260.0,1.0,3786.0,USA,USA
Male,1990-02-22 00:00:00+00:00,NewJersey,8.0,2.0,12.0,4.0,1.0,19.0,2.0,462.0,Jersey,JEY
Male,1983-08-20 00:00:00+00:00,GainesvilleFlorida,58.7,4.0,199.0,59.0,0.0,303.0,0.0,3519.0,USA,USA
Male,1983-02-23 00:00:00+00:00,GarfieldHeightsOhio,95.4,2.0,291.0,52.0,18.0,363.0,0.0,5417.0,USA,USA
Female,1990-06-05 00:00:00+00:00,Indiana,92.8,52.0,368.0,79.0,93.0,629.0,0.0,6085.0,Indiana,USA
Male,1985-11-12 00:00:00+00:00,Sweden,90.6,6.0,194.0,1.0,2.0,212.0,99.0,5253.0,Sweden,SWE
Female,1986-04-29 00:00:00+00:00,California,67.1,0.0,207.0,3.0,21.0,279.0,4.0,3890.0,USA,USA
Male,1989-10-03 00:00:00+00:00,NewJersey,35.0,0.0,104.0,8.0,62.0,178.0,56.0,1829.0,Jersey,JEY
Male,1985-09-30 00:00:00+00:00,SanFranciscoCalifornia,146.4,14.0,585.0,0.0,0.0,599.0,13.0,8647.0,USA,USA
Male,1990-01-09 00:00:00+00:00,Delaware,22.5,5.0,85.0,10.0,215.0,326.0,16.0,1283.0,USA,USA
Male,1989-04-21 00:00:00+00:00,LeicesterEngland,83.4,35.0,386.0,23.0,47.0,491.0,0.0,4794.0,England,GBR
Male,1989-01-04 00:00:00+00:00,Ohio,57.9,9.0,153.0,1.0,2.0,166.0,0.0,3408.0,USA,USA
Male,1987-01-07 00:00:00+00:00,VacavilleCalifornia,88.6,1.0,52.0,14.0,18.0,89.0,28.0,5262.0,USA,USA
Male,1990-01-25 00:00:00+00:00,Neverath,56.2,22.0,169.0,30.0,28.0,268.0,27.0,3434.0,Neverath,Invalid country name
Male,1991-09-13 00:00:00+00:00,AlbertaCanada,103.3,10.0,239.0,3.0,11.0,272.0,2.0,6194.0,Canada,CAN
Female,1991-03-08 00:00:00+00:00,LasVegasNevada,126.4,12.0,251.0,30.0,660.0,959.0,255.0,7134.0,USA,USA
Female,1982-06-20 00:00:00+00:00,ReykjavikIceland,16.5,0.0,75.0,4.0,0.0,129.0,0.0,898.0,Iceland,ISL
Female,1986-08-01 00:00:00+00:00,Oregon,62.4,14.0,160.0,1.0,5.0,182.0,3.0,3735.0,USA,USA
Female,1987-07-29 00:00:00+00:00,ColumbusGeorgia,319.5,10.0,1068.0,70.0,326.0,1543.0,45.0,19454.0,USA,USA
Male,1987-10-25 00:00:00+00:00,DublinIreland,79.9,8.0,291.0,0.0,7.0,309.0,34.0,4732.0,Ireland,IRL
Male,1991-06-19 00:00:00+00:00,AthensGreece,17.0,0.0,58.0,18.0,22.0,119.0,3.0,986.0,Greece,GRC
Male,1983-04-08 00:00:00+00:00,SouthernUsa,43.0,20.0,103.0,40.0,393.0,570.0,20.0,2580.0,Usa,USA
Female,1983-01-01 00:00:00+00:00,Singapore,34.6,4.0,113.0,3.0,122.0,243.0,0.0,2545.0,Singapore,SGP
Male,1975-01-15 00:00:00+00:00,hiddenvillageinCA,106.8,7.0,235.0,6.0,27.0,281.0,0.0,6311.0,USA,USA
Female,1989-11-19 00:00:00+00:00,SanJoseCalifornia,67.1,11.0,312.0,48.0,25.0,408.0,1.0,4068.0,USA,USA
Female,1988-01-26 00:00:00+00:00,ZagrebCroatia,68.7,6.0,291.0,0.0,275.0,576.0,1.0,4007.0,Croatia,HRV
Female,1990-05-21 00:00:00+00:00,Israel,91.2,8.0,272.0,5.0,213.0,539.0,1.0,5394.0,Israel,ISR
Male,1987-04-10 00:00:00+00:00,Illinois,97.4,5.0,238.0,0.0,4.0,256.0,4.0,5748.0,USA,USA
Male,1986-12-26 00:00:00+00:00,Finland,53.7,18.0,107.0,8.0,2.0,138.0,0.0,3199.0,Finland,FIN
Female,1987-01-04 00:00:00+00:00,SohmaComplex,20.5,2.0,22.0,9.0,2.0,35.0,4.0,1225.0,Complex,Invalid country name
Male,1987-08-11 00:00:00+00:00,SaoPauloCitySaoPauloState,151.5,6.0,142.0,3.0,56.0,215.0,91.0,9036.0,State,USA
Female,1985-09-02 00:00:00+00:00,ChesterCalifornia,61.4,21.0,171.0,5.0,5.0,282.0,0.0,3725.0,USA,USA
Male,1987-08-29 00:00:00+00:00,HighlandCalifornia,50.5,3.0,132.0,4.0,6.0,169.0,0.0,2908.0,USA,USA
Male,1985-09-08 00:00:00+00:00,HuntingtonBeachCalifornia,108.2,12.0,443.0,1.0,0.0,457.0,0.0,6187.0,USA,USA
Male,1992-02-11 00:00:00+00:00,MelbourneAustralia,17.5,21.0,43.0,11.0,30.0,105.0,0.0,1008.0,Australia,AUS
Female,1990-10-23 00:00:00+00:00,Finland,42.9,11.0,92.0,16.0,1.0,124.0,0.0,2536.0,Finland,FIN
Female,1985-04-09 00:00:00+00:00,LosAngelasCa,73.4,7.0,153.0,6.0,59.0,226.0,19.0,4338.0,Ca,CAN
Male,1989-08-18 00:00:00+00:00,NewYork,90.7,21.0,114.0,3.0,0.0,142.0,6.0,5430.0,GBR,GBR
Male,1982-10-14 00:00:00+00:00,Manila,36.7,9.0,46.0,0.0,1.0,56.0,14.0,2172.0,PHL,PHL
Female,1984-04-12 00:00:00+00:00,USA,7.3,8.0,22.0,7.0,6.0,44.0,0.0,405.0,USA,USA
Female,1988-08-03 00:00:00+00:00,Florida,15.9,2.0,35.0,3.0,27.0,69.0,1.0,909.0,USA,USA
Male,1986-08-27 00:00:00+00:00,Lavalfrance,182.8,39.0,512.0,4.0,129.0,695.0,0.0,10890.0,Lavalfrance,Invalid country name
Male,1990-06-28 00:00:00+00:00,NewYork,24.5,22.0,22.0,1.0,9.0,54.0,2.0,1439.0,GBR,GBR
Female,1981-10-21 00:00:00+00:00,BellevueWA,181.1,18.0,547.0,80.0,51.0,790.0,195.0,10472.0,USA,USA
Female,1987-03-13 00:00:00+00:00,WarsawPoland,239.2,410.0,715.0,4.0,838.0,1994.0,6.0,14300.0,Poland,POL
Female,1991-10-17 00:00:00+00:00,Pennsylvania,7.9,4.0,11.0,3.0,3.0,23.0,1.0,449.0,USA,USA
Male,1985-10-12 00:00:00+00:00,LimaPeru,174.8,15.0,1463.0,60.0,24.0,1612.0,41.0,9822.0,Peru,PER
Female,1983-05-10 00:00:00+00:00,NewHavenCT,7.2,2.0,18.0,0.0,1.0,21.0,7.0,408.0,USA,USA
Male,1987-12-19 00:00:00+00:00,Sweden,135.8,9.0,260.0,8.0,135.0,425.0,49.0,8159.0,Sweden,SWE
Male,1987-12-11 00:00:00+00:00,Israel,71.6,0.0,72.0,1.0,0.0,85.0,65.0,4233.0,Israel,ISR
Male,1985-07-05 00:00:00+00:00,MadisonWisconsin,60.8,6.0,80.0,48.0,56.0,202.0,1.0,3608.0,USA,USA
Male,1988-07-12 00:00:00+00:00,UniversityofCentralFlorida,108.2,9.0,222.0,2.0,0.0,256.0,0.0,6451.0,USA,USA
Female,1989-01-06 00:00:00+00:00,England,62.0,39.0,135.0,9.0,69.0,253.0,0.0,3636.0,England,GBR
Female,1988-05-25 00:00:00+00:00,Tartu,66.2,1.0,214.0,1.0,1.0,278.0,18.0,3944.0,Tartu,EST
Male,1987-05-02 00:00:00+00:00,HermosilloSonora,152.2,7.0,412.0,14.0,22.0,462.0,16.0,9118.0,Sonora,MEX
Male,1985-10-10 00:00:00+00:00,Budapest,218.8,2.0,713.0,25.0,379.0,1299.0,19.0,12594.0,HUN,HUN
Female,1988-11-08 00:00:00+00:00,BostonMA,26.9,21.0,53.0,2.0,49.0,129.0,12.0,1579.0,USA,USA
Female,1993-01-22 00:00:00+00:00,UnitedStates,52.7,8.0,92.0,8.0,10.0,121.0,4.0,3099.0,States,USA
Male,1988-10-14 00:00:00+00:00,Finland,115.5,12.0,274.0,0.0,4.0,290.0,0.0,6904.0,Finland,FIN
Female,1991-07-11 00:00:00+00:00,AwayInAnUnknownPlaceFarFarAway,85.6,32.0,186.0,9.0,26.0,280.0,0.0,5286.0,Away,ZWE
Male,1988-02-15 00:00:00+00:00,Philadelphiaarea,87.8,0.0,211.0,15.0,2.0,236.0,6.0,5196.0,Philadelphiaarea,Invalid country name
Male,1982-05-26 00:00:00+00:00,MelbourneAustralia,47.4,1.0,163.0,4.0,14.0,183.0,51.0,2782.0,Australia,AUS
Male,1986-01-16 00:00:00+00:00,WilliamsburgVirginia,180.7,30.0,370.0,130.0,46.0,576.0,10.0,10635.0,USA,USA
Female,1990-05-17 00:00:00+00:00,LondonEngland,15.0,5.0,47.0,9.0,29.0,90.0,0.0,899.0,England,GBR
Male,1986-10-19 00:00:00+00:00,ScarboroughEngland,101.9,6.0,293.0,4.0,15.0,324.0,3.0,6035.0,England,GBR
Male,1989-01-19 00:00:00+00:00,FinlandHelsinki,82.9,47.0,224.0,9.0,10.0,295.0,0.0,4916.0,FIN,FIN
Male,1992-12-17 00:00:00+00:00,SilentHill,347.2,3.0,1360.0,0.0,0.0,1363.0,83.0,21518.0,Hill,GBR
Male,1984-11-12 00:00:00+00:00,rochesterny,189.1,13.0,382.0,8.0,4.0,427.0,21.0,11262.0,rochesterny,Invalid country name
Male,1985-03-11 00:00:00+00:00,AtlantaGeorgia,37.8,6.0,182.0,12.0,0.0,200.0,1.0,2121.0,USA,USA
Female,1988-04-12 00:00:00+00:00,StockholmSweden,62.8,1.0,148.0,7.0,4.0,195.0,0.0,3675.0,Sweden,SWE
Female,1983-02-11 00:00:00+00:00,BelfastNorthernIreland,97.7,1.0,336.0,0.0,11.0,388.0,95.0,5744.0,Ireland,IRL
Male,1991-09-16 00:00:00+00:00,BrasovRomania,54.5,8.0,125.0,41.0,4.0,205.0,2.0,3183.0,Romania,ROU
Female,1990-06-28 00:00:00+00:00,BergenNorway,9.4,2.0,12.0,1.0,8.0,23.0,0.0,559.0,Norway,NOR
Male,1985-08-20 00:00:00+00:00,NormanOklahoma,74.2,17.0,229.0,37.0,45.0,334.0,104.0,4436.0,USA,USA
Male,1991-07-28 00:00:00+00:00,Lithuania,120.9,22.0,600.0,10.0,2.0,637.0,0.0,7509.0,Lithuania,LTU
Male,1986-03-27 00:00:00+00:00,SomewhereinHolland,104.1,43.0,248.0,113.0,321.0,727.0,19.0,6289.0,Holland,NLD
Male,1986-09-08 00:00:00+00:00,MetroAtlantaGeorgia,102.8,11.0,264.0,6.0,74.0,358.0,0.0,5902.0,USA,USA
Male,1988-12-15 00:00:00+00:00,Brazilo,78.7,11.0,117.0,8.0,11.0,150.0,4.0,4689.0,Brazilo,Invalid country name
Male,1985-11-07 00:00:00+00:00,Israel,250.7,18.0,1175.0,19.0,20.0,1373.0,13.0,16688.0,Israel,ISR
Female,1991-10-13 00:00:00+00:00,Myimagination,129.0,25.0,366.0,94.0,15.0,592.0,14.0,7491.0,Myimagination,Invalid country name
Male,1987-10-27 00:00:00+00:00,SyracuseNY,50.7,38.0,129.0,41.0,280.0,496.0,7.0,2973.0,USA,USA
Female,1991-05-11 00:00:00+00:00,Lithuania,77.9,10.0,317.0,20.0,57.0,411.0,0.0,4704.0,Lithuania,LTU
Female,1984-03-08 00:00:00+00:00,California,217.2,90.0,472.0,41.0,129.0,742.0,7.0,12861.0,USA,USA
Male,1985-01-04 00:00:00+00:00,CebuPhilippines,39.8,5.0,150.0,0.0,130.0,285.0,0.0,2272.0,Philippines,PHL
Male,1984-08-09 00:00:00+00:00,utrechtNetherlands,388.4,10.0,1437.0,1.0,32.0,1480.0,0.0,22674.0,Netherlands,NLD
Male,1990-09-20 00:00:00+00:00,Maryland,71.6,24.0,140.0,9.0,0.0,177.0,0.0,4255.0,USA,USA
Male,1990-10-08 00:00:00+00:00,Sweden,59.7,0.0,79.0,0.0,1.0,109.0,34.0,3563.0,Sweden,SWE
Female,1992-12-30 00:00:00+00:00,AlbertaCanada,12.7,3.0,23.0,2.0,7.0,36.0,0.0,743.0,Canada,CAN
Female,1992-06-13 00:00:00+00:00,AthensGreece,63.0,15.0,320.0,29.0,86.0,461.0,0.0,3914.0,Greece,GRC
Female,1991-10-18 00:00:00+00:00,ElSalvador,109.3,15.0,344.0,47.0,106.0,556.0,28.0,6879.0,BRA,BRA
Male,1988-08-19 00:00:00+00:00,SouthAfrica,32.6,2.0,143.0,0.0,1.0,177.0,0.0,1962.0,Africa,ZAF
Female,1991-02-23 00:00:00+00:00,MonterreyMexico,53.6,0.0,69.0,18.0,14.0,110.0,7.0,3167.0,Mexico,MEX
Female,1988-11-18 00:00:00+00:00,Germany,243.2,6.0,421.0,1.0,73.0,518.0,120.0,14524.0,Germany,DEU
Female,1988-09-15 00:00:00+00:00,BilzenBelgium,68.2,3.0,148.0,0.0,0.0,151.0,0.0,4085.0,Belgium,BEL
Male,1989-09-07 00:00:00+00:00,PhiladelphiaPennsylvania,47.4,14.0,71.0,13.0,0.0,123.0,6.0,2798.0,USA,USA
Male,1990-02-18 00:00:00+00:00,WashingtonDC,202.1,21.0,811.0,69.0,270.0,1254.0,0.0,11604.0,USA,USA
Male,1989-07-12 00:00:00+00:00,KilleenTexas,67.4,5.0,130.0,12.0,17.0,173.0,61.0,3992.0,USA,USA
Male,1986-12-04 00:00:00+00:00,AbuDhabiUAE,149.1,54.0,267.0,7.0,59.0,400.0,14.0,8904.0,AbuDhabiUAE,Invalid country name
Male,1990-05-01 00:00:00+00:00,Denmark,33.9,2.0,49.0,5.0,0.0,59.0,0.0,1993.0,Denmark,DNK
Male,1986-05-27 00:00:00+00:00,israel,186.2,56.0,531.0,16.0,12.0,626.0,7.0,11305.0,israel,ISR
Male,1985-04-09 00:00:00+00:00,Sweden,116.4,58.0,373.0,4.0,40.0,481.0,10.0,6837.0,Sweden,SWE
Male,1991-11-30 00:00:00+00:00,JerusalemIsrael,283.6,6.0,1072.0,29.0,155.0,1305.0,138.0,17180.0,Israel,ISR
Male,1988-07-21 00:00:00+00:00,NotJapan,449.2,6.0,1812.0,119.0,2.0,2019.0,0.0,26816.0,Japan,JPN
Female,1987-08-04 00:00:00+00:00,quezoncityphilippines,0.1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,quezoncityphilippines,Invalid country name
Female,1985-03-02 00:00:00+00:00,PittsburghPA,31.5,13.0,138.0,14.0,97.0,314.0,4.0,1808.0,USA,USA
Female,1987-07-28 00:00:00+00:00,ChicagoLouisville,32.4,0.0,87.0,11.0,15.0,126.0,5.0,1861.0,Louisville,Invalid country name
Male,1998-11-24 00:00:00+00:00,MiamiFlorida,35.6,0.0,51.0,8.0,15.0,76.0,22.0,2105.0,USA,USA
Male,1986-05-11 00:00:00+00:00,MadisonWI,54.9,3.0,127.0,2.0,0.0,151.0,0.0,3152.0,USA,USA
Female,1989-01-15 00:00:00+00:00,SpokaneWA,112.4,6.0,391.0,44.0,78.0,532.0,0.0,6479.0,USA,USA
Male,1990-12-31 00:00:00+00:00,NewYorkUSA,43.4,0.0,142.0,28.0,180.0,353.0,45.0,2488.0,USA,USA
Female,1987-09-17 00:00:00+00:00,France,77.4,21.0,350.0,17.0,44.0,452.0,12.0,4674.0,France,FRA
Male,1986-05-05 00:00:00+00:00,Inthetrees_,42.6,25.0,121.0,46.0,21.0,230.0,0.0,2486.0,Inthetrees_,Invalid country name
Male,1988-06-22 00:00:00+00:00,NewYork,221.8,51.0,699.0,72.0,100.0,958.0,2.0,13395.0,GBR,GBR
Male,1988-10-28 00:00:00+00:00,AmsterdamHoland,85.9,71.0,263.0,45.0,37.0,423.0,33.0,5046.0,Holand,Invalid country name
Female,1986-06-25 00:00:00+00:00,OhioUSA,66.2,0.0,241.0,6.0,0.0,290.0,0.0,3925.0,USA,USA
Male,1987-08-20 00:00:00+00:00,MontrealQuebec,33.1,24.0,152.0,4.0,47.0,231.0,0.0,1951.0,CAN,CAN
Male,1987-10-14 00:00:00+00:00,AalborgDenmark,22.6,15.0,98.0,11.0,0.0,136.0,0.0,1182.0,Denmark,DNK
Male,1987-03-22 00:00:00+00:00,Germany,280.6,49.0,1367.0,21.0,105.0,1736.0,66.0,17349.0,Germany,DEU
Male,1981-07-17 00:00:00+00:00,NorthWestIndiana,19.9,1.0,115.0,3.0,40.0,164.0,21.0,1032.0,Indiana,USA
Female,1988-02-22 00:00:00+00:00,CaracasVenezuela,70.8,2.0,179.0,25.0,31.0,268.0,3.0,4313.0,Venezuela,VEN
Male,1988-04-03 00:00:00+00:00,CliftonNewJersey,188.9,7.0,745.0,31.0,211.0,1143.0,132.0,11411.0,Jersey,JEY
Male,1990-10-02 00:00:00+00:00,Florida,81.7,58.0,137.0,77.0,255.0,527.0,10.0,4840.0,USA,USA
Male,1989-08-17 00:00:00+00:00,Rustyspoonville,9.6,0.0,42.0,0.0,218.0,262.0,0.0,531.0,Rustyspoonville,Invalid country name
Female,1990-07-31 00:00:00+00:00,Abrightsmokefreeroom,44.9,0.0,51.0,5.0,20.0,78.0,20.0,2629.0,Abrightsmokefreeroom,Invalid country name
Female,1991-06-26 00:00:00+00:00,Israel,52.8,0.0,93.0,139.0,64.0,335.0,22.0,3068.0,Israel,ISR
Male,1987-12-17 00:00:00+00:00,Germany,56.3,2.0,268.0,20.0,12.0,338.0,37.0,3329.0,Germany,DEU
Female,1992-01-27 00:00:00+00:00,HendersonNevada,66.5,27.0,220.0,6.0,4.0,282.0,0.0,3868.0,USA,USA
Male,1987-10-29 00:00:00+00:00,RotterdamTheNetherlands,151.3,13.0,573.0,41.0,18.0,699.0,11.0,9164.0,Netherlands,NLD
Male,1990-07-16 00:00:00+00:00,Israel,26.6,3.0,77.0,2.0,23.0,105.0,0.0,1558.0,Israel,ISR
Male,1991-01-24 00:00:00+00:00,USA,46.3,24.0,175.0,38.0,60.0,299.0,0.0,2714.0,USA,USA
Female,1987-10-13 00:00:00+00:00,NewYork,6.2,4.0,23.0,24.0,0.0,52.0,1.0,340.0,GBR,GBR
Male,1992-10-16 00:00:00+00:00,Israel,139.3,7.0,488.0,45.0,48.0,789.0,10.0,8540.0,Israel,ISR
Male,1980-12-08 00:00:00+00:00,Netherlands,22.5,14.0,85.0,3.0,11.0,145.0,12.0,1195.0,Netherlands,NLD
Male,1989-04-05 00:00:00+00:00,Southend,25.3,6.0,24.0,8.0,1.0,40.0,0.0,1501.0,Southend,GBR
Male,1986-08-02 00:00:00+00:00,Unknown,121.2,19.0,367.0,25.0,0.0,411.0,0.0,7030.0,Unknown,Invalid country name
Male,1982-06-01 00:00:00+00:00,Utrecht,105.1,27.0,355.0,3.0,79.0,472.0,0.0,6276.0,NLD,NLD
Female,1993-03-05 00:00:00+00:00,Overtherainbow,79.3,3.0,214.0,17.0,24.0,338.0,23.0,4842.0,Overtherainbow,Invalid country name
Male,1989-07-24 00:00:00+00:00,MoscowRussia,40.2,3.0,107.0,1.0,18.0,129.0,0.0,2405.0,Russia,RUS
Female,1987-05-13 00:00:00+00:00,Netherlands,59.5,0.0,184.0,17.0,0.0,362.0,28.0,3537.0,Netherlands,NLD
Male,1986-04-21 00:00:00+00:00,Gothenburg,141.2,4.0,490.0,4.0,57.0,590.0,0.0,8245.0,SWE,SWE
